Rk,CLUB,PL,W,D,L,GD,Pts
1,Manchester City,38,28,5,5,61,89
2,Arsenal,38,26,6,6,45,84
3,Manchester United,38,23,6,9,15,75
4,Newcastle United,38,19,14,5,35,71
5,Liverpool,38,19,10,9,28,67
6,Brighton and Hove Albion,38,18,8,12,19,62
7,Aston Villa,38,18,7,13,5,61
8,Tottenham Hotspur,38,18,6,14,7,60
9,Brentford,38,15,14,9,12,59
10,Fulham,38,15,7,16,2,52
11,Crystal Palace,38,11,12,15,-9,45
12,Chelsea,38,11,11,16,-9,44
13,Wolverhampton Wanderers,38,11,8,19,-27,41
14,West Ham United,38,11,7,20,-13,40
15,Bournemouth,38,11,6,21,-34,39
16,Nottingham Forest,38,9,11,18,-30,38
17,Everton,38,8,12,18,-23,36
18,Leicester City,38,9,7,22,-17,34
19,Leeds United,38,7,10,21,-30,31
20,Southampton,38,6,7,25,-37,25
